surah_number,surah_name,ayat_number,text,source_status,publishable
2,Bakara,14,"Olar (mynapyklar) iman getirenler bilen gabatlaşanlarynda: «Biz (hem siziň ýaly) iman getirdik» diýýärler. Özlerini (azaşdyran) şeýtanlary (ýahudylar) bilen tenha galanlarynda bolsa: «Biz siziň bilen, biz diňe olary (möminleri) ýaňsylaýarys» diýýärler.",OK,True
2,Bakara,15,"(Aslynda) Alla olary ýaňsylaýandyr we azgynçylyklarynyň içinde aňalyp ýörkäler, (azaba duçar bolmaklary üçin) olara möhlet berýär.",OK,True
2,Bakara,16,Olar dogry ýoluň deregine azaşmagy (ters ýoly) satyn alanlardyr. (Şonuň üçin hem) olaryň (bu) söwdalary peýda getirmedi. Olar dogry ýoly hem tapmadylar.,OK,True
2,Bakara,17,"Olaryň (mynapyklaryň) ýagdaýy (garaňky gijede) ot ýakýanyň ýagdaýy ýalydyr. Ol ot (ýanyp) daş-töweregini ýagtyldan wagty, Alla olaryň ýagtylygyny giderer we olary hiç zat görünmeýän tümlügiň içinde goýar (şeýdibem hiç zady görmezler).",OK,True
2,Bakara,18,"(Olar) kerdirler, laldyrlar, kördürler, (şonuň üçin hem) yza (dogry ýola) öwrülip bilmezler.",OK,True
2,Bakara,19,"Ýa-da (olaryň bu ýagdaýy) garaňky (gijede) gök gümmürdileriniň we ýyldyrymlaryň (arasynda) asmandan ýagýan çabgada galyp, ýyldyrymlar (urup) öldüräýmesin gorkusy bilen gulaklaryny barmaklary bilen ýapýanlara (meňzeýärler). Alla kapyrlaryň (daş-töwereklerini) gabap goýandyr.",OK,True
2,Bakara,20,"(Şol wagt) ýyldyrym hem göýä, gözlerini çykarjak ýaly (çakar). Ol (ýyldyrym çakan wagty) olara ýagtylyk salsa-ha ýörärler, üstlerine tümlük abansa welin, gymyldaman durarlar. Alla islesedi, elbetde, olaryň gözlerini kör, gulaklaryny ker ederdi. Takyk, Allanyň ähli zada güýji ýetýändir.",OK,True
2,Bakara,21,"Eý, ynsanlar! Takwalardan bolmagyňyz üçin sizi we sizden öňküleri ýaradan Perwerdigäriňize ybadat ediň!",OK,True
2,Bakara,22,"Ol (Alla) ýeri siziň üçin düşek, asmany hem (ýokaryňyzy ýapýan) gupba",OK,True
2,Bakara,23,"Eger siziň Biziň gulumyza (Muhammede) inderen zatlarymyza şübhäňiz bar bolsa, onda siz oňa (Kuranyň süresine) meňzeş bir süre getiriň! Eger dogruçyl bolsaňyz, Alladan özge şaýatlaryňyzy (butlaryňyzy) hem çagyryň!",OK,True
2,Bakara,24,"Eger muny başaryp bilmeseňiz, elbetde, (siz ony) hiç haçan başaryp bilmersiňiz, kapyrlar üçin taýýarlanylan tutaşdyrlygy ynsan we daş bolan otdan (dowzahdan) heder ediň!",OK,True
2,Bakara,25,"Iman getirip, ýagşy işleri edýänleri aşagyndan derýalar akýan jennetler bilen söýünjile! Özlerine (jennetdäki) miweler rysgal edilip berlende, olar: «Bize öň (dünýäde) hem beýle rysgal berlipdi» diýerler. Emma olara (dünýäde) bulara meňzeş miweler berlipdi. Olar üçin (jennetde) päkize jübüt taýlar bardyr. Olar ol ýerde (jennetde) ebedi galarlar.",OK,True
2,Bakara,26,"Takyk, Alla (hakykaty beýan etmek üçin) çybyny we ondan hem ownuk zady mysal getirmekden çekinmez. Iman getirenler bolsa (bularyň) öz Perwerdigärinden (gelen) hakykatdygyny bilýärler. Kapyrlar (bolsa): «Alla bu mysal bilen näme (diýmek) isleýär?» diýýärler. (Alla) onuň bilen birnäçesini ýoldan azaşdyrar, birnäçesini bolsa dogry",OK,True
2,Bakara,27,"Alla beren ähti-peýmanlaryndan dänenler, Allanyň (dogan-garyndaşlyk gatnaşygy ýaly) emir eden gatnaşyklaryny kesip, ýer ýüzünde pitnepisat çykarýanlar, (ine, hakyky) zyýan çekjekler hut şolardyr.",OK,True
2,Bakara,28,"(Eý, kapyrlar!) Siz nädip öli wagtyňyz sizi direlden (bu dünýä getirip, jan beren) Allany inkär (edip) bilýärsiňiz?! Soň ol sizi öldürer, soň ýene direlder. Siz soňunda Oňa dolanyp eltilersiňiz!",OK,True
2,Bakara,29,"Ol (Alla) ýer ýüzündäki ähli zady siziň üçin ýaratdy. Soň (Öz gudraty bilen) asmana ýönelip, ony ýedi gat (edip) tertip-nyzama saldy. Ol ähli zady bilýändir.",OK,True
2,Bakara,30,"(Seniň) Perwerdigäriň perişdelere: «Men ýer ýüzünde bir oruntutar (ynsan) ýaratjak» diýende, olar: «Sen (ýerde) pitne-pisat çykaryp, gan dökjek (ynsanlary) ýaratjak bolýarsyňmy? Biz hamdy-senaň bilen Seni tesbih edýäris we mukaddes tutýarys (taryp edýäris)» diýdiler. (Alla olara): «Takyk, Men siziň bilmeýän zatlaryňyzy bilýärin» diýdi.",OK,True
2,Bakara,31,"(Alla) Adam (ata) ähli zadyň atlaryny öwretdi. Soň olary perişdelere görkezip: «Eger siz dogruçyl bolsaňyz, Maňa bularyň atlaryny aýdyp beriň!» diýdi.",OK,True
2,Bakara,32,"(Perişdeler): «(Eý, Perwerdigärimiz!) Sen ähli nosganlyklardan päksiň! Seniň bize öwreden zatlaryňdan başga biziň bilýän zadymyz ýokdur! Takyk, Sen (ähli zady) bilýänsiň, hikmete eýesiň!» diýdiler.",OK,True
2,Bakara,33,"(Alla): «Eý, Adam! Olara (perişdelere) ol zatlaryň atlaryny aýdyp ber!» diýdi. Ol (Adam) olara (perişdelere) olaryň (hemmesiniň) atlaryny aýdyp berende, (Alla): «Men size asmanlardaky we ýerdäki gaýyp zatlary, siziň hem nämäni äşgär edip, nämäni gizleýändigiňizi bilýärin diýmänmidim?» diýdi.",OK,True
2,Bakara,34,"Biz perişdelere: «Adama (hormat edip) sežde ediň!» diýenimizde, Iblisden galany (hemme perişdeler) sežde etdiler. Ol (Iblis) ýüz öwrüp, tekepbirlik etdi we (netijede) kapyrlardan boldy.",OK,True
2,Bakara,35,"Biz: «Eý, Adam! Sen öz aýalyň (How ene) bilen jennetde mesgen tut! Ondan (jennet nygmatlaryndan) öz göwün islän ýeriňizde bol edip iýiň! (Emma) bu agajyň (miwesine) golaýlaşmaň! Ýogsa (eger bu agajyň miwesinden iýseňiz) ikiňiz hem (özüňize) zulum edenlerden bolarsyňyz» diýdik.",OK,True
2,Bakara,36,"Şeýtan olary ol ýerden (jennetden) taýdyrdy we olary özlerine (berlen) nygmatlaryndan çykartdy. Biz (Adam ata, How enä we şeýtana): «Siz biri-biriňize duşman bolup, (ýere) düşüň! Siziň üçin ýer ýüzünde mesgen we belli bir wagta çenli peýda (ýaşaýyş) bolar» diýdik.",OK,True
2,Bakara,37,"Adam (ata) öz Perwerdigärinden käbir ylhamlary alandan soň, (eden işine ökünip) derrew toba etdi. Takyk, Ol (Alla) tobalary kabul edijidir, Rehim-şepagatlydyr.",OK,True
2,Bakara,38,"Biz: «Hemmäňiz ondan (jennetden ýere düşüň! Soň size Menden bir dogry ýol (kita ýa-da pygamber) gelse, (kim) Meniň ol dogr ýoluma tabyn bolsa, olara gorky-howp ýokdu we olar gamgyn hem bolmazlar» diýdik.",OK,True
2,Bakara,39,"Biziň aýatlarymyzy inkär edip, ýalan",OK,True
2,Bakara,40,"Eý, ysraýyl ogullary! Siz Meniň size (ata babalaryňyza) beren nygmatlarymy ýatlaň Meniň size (sylag berjek diýip) beren ähti peýmanyma wepaly bolmagym üçin, si hem maňa (tabyn boljakdygyňyz üçin) bere ähti-peýmanynyza wepaly boluň! Siz diň Menden heder ediň!",OK,True
2,Bakara,41,Siziň ýanyňyzdakyny (Töwraty) tassyklaýjy,OK,True
2,Bakara,42,"Siz bilip durkaňyz, hak bilen nähaky",OK,True
2,Bakara,43,"(Eý, ysraýyl ogullary!) Namazy berjaý ediň",OK,True
2,Bakara,44,"(Eý, ýahudy alymlary!) Siz kitaby",OK,True
2,Bakara,45,Sabyr etmek we namazy berjaý etmek,OK,True
2,Bakara,46,"Takyk, olar (Alladan gorkýanlar) özleriniň",OK,True
2,Bakara,47,Siz Meniň size beren nygmatlarymy we sizi (Musa pygamberiň döwründe) bütin äleme üstün eden (wagtlarymy) ýatlaň!,OK,True
2,Bakara,48,"Siz hiç kimiň başga birine derek töleg töläp bilmeýän, hiç kimden şepagat (kömek) kabul edilmeýän, hiç kimden fidýe (töleg puly) alynmaýan we hiç kime (hiç hili) ýardam edilmeýän günden gorkuň!",OK,True
2,Bakara,49,"Biz sizi size ýowuz azap (ezýet) beren, erkek perzentleriňizi öldürip, gyz perzentleriňizi diri goýan Fyrgawnyň adamlaryndan doly halas edipdik. Bu siziň üçin Perwerdigäriňizden (gelen) uly synagdy.",OK,True
2,Bakara,50,"Biz siziň üçin deňzi ýaryp, sizi halas etdik, Fyrgawnyň adamlaryny hem siziň gözüňiziň öňünde (deňze) gark edipdik.",OK,True
2,Bakara,51,"Biz Musa (Töwraty bermek) üçin kyrk gije wadalaşypdyk. Soň siz onuň yzyndan (özüňize) zulum edip, göläni (hudaý) edindiňiz.",OK,True
2,Bakara,52,(Mundan) soň hem siziň şükür etmegiňiz üçin Biz sizi bagyşladyk.,OK,True
2,Bakara,53,Siziň dogry ýoly tapmagyňyz üçin Biz Musa kitaby (Töwraty) we (hak bilen batyly) tapawutlandyrýan (mugjyzalary) beripdik.,OK,True
2,Bakara,54,"Musa öz kowumyna: «Eý, kowumym! Takyk, siz göläni (hudaý) edinmek bilen, özüňize zulum etdiňiz. Indi siz öz Ýaradanyňyza toba edip, öz nebisleriňizi (erbet duýgularyňyzy) öldüriň! Bu Ýaradanyňyzyň ýanynda siziň üçin iň haýyrlysydyr. (Belki) Ol siziň tobaňyzy kabul eder. Takyk, Ol (Alla) tobalary kabul edýändir, Rehim-şepagatlydyr» diýdi.",OK,True
2,Bakara,55,"Siz: «Eý, Musa! Biz, tä Allany äşgär görýänçäk, saňa hiç haçan iman getirjek däl» diýen wagtyňyz, gözüňiziň alnynda sizi ýyldyrym urdy.",OK,True
2,Bakara,56,"Siziň şükür etmegiňiz üçin (ýyldyrym urandan) soň, Biz sizi (täzeden) direltdik.",OK,True
2,Bakara,57,"Bulutlary siziň üstüňize kölege etdik. Size menne (şepbeşik halwa) we bedene (etini) inderip: «Size rysgal edip beren halal zatlarymyzdan iýiň» (diýdik). Emma olar, bize däl-de, özlerine zulum edýärdiler.",OK,True
2,Bakara,58,"Biz (ysraýyl ogullaryna): «Siz bu oba (şähere) giriň, ol ýerdäki (iýilýän zatlardan) isleýşiňiz bol edip iýiň! Soň hem sežde edip: («Eý, Perwerdigärimiz!) Biziň günälerimizi bagyşla!» diýip gapydan giriň. Biz (hem) siziň hatalaryňyzy (günäleriňizi) bagyşlarys we ýagşylyk edýänleriň (sogaplaryny) hökman köpeldip bereris» diýipdik.",OK,True
2,Bakara,59,"Emma zulum edenler özlerine aýdylanlary başga sözler bilen üýtgetdiler. Biz hem zulum edenlere, boýun egmekden dänendikleri sebäpli, asmandan gorkunç azap inderdik.",OK,True
2,Bakara,60,"Musa (çölde) öz kowumy üçin suw dilände, Biz oňa: «Hasaň bilen daşa",OK,True
2,Bakara,61,"(Eý, ysraýyl ogullary!) Siz: «Eý, Musa! Biz hiç haçan bir tagam bilen (çäklenip) sabyr edip bilmeris. Sen biziň üçin Perwerdigäriňe ýüz tut! (Goý), Ol bize ýeriň bitirýän gök otlaryndan, hyýaryndan, sarymsagyndan, merjimeginden, soganyndan çykaryp bersin!» diýeniňizde, Musa size: «Siz haýyrly zady pes (zada) çalyşmak (isleýärsiňizmi)? Siz şähere iniň (gidiň), takyk (ol ýerde), siziň islän zatlaryňyz bardyr» diýdi. (Mundan soň) olara peslik we misginlik (tagmasy) uruldy. Olar Allanyň gazabyna duçar boldular. Bu olaryň Allanyň aýatlaryny inkär edip, pygamberleri nähak ýere öldürendikleri (sebäplidir). Bu (bolsa) olaryň asy bolandyklary we çäkden çykandyklary sebäpli boldy.",OK,True
2,Bakara,62,"Takyk, iman getiren ýahudylardan, nasranylardan we sabylardan Alla we ahyret gününe ynanyp, ýagşy işleri edýänler üçin özleriniň Perwerdigäriniň ýanynda sylaglar bardyr. Olara hiç hili gorky-howp ýokdur we olar gamgyn hem bolmazlar.",OK,True
2,Bakara,63,"(Eý, ysraýyl ogullary!) Biz sizden (Töwrata uýjakdygyňyz barada) ähtipeýman alypdyk. (Soň siz bu lebziňizi ýuwdandygyňyz üçin) Tur (dagyny) siziň üstüňize galdyryp: «Takwalardan bolmagyňyz üçin size beren zadymyza (Töwrata) mäkäm ýapyşyň we onuň içindäkileri ýat tutuň (amal ediň)!» diýipdik.",OK,True
2,Bakara,64,"Soň munuň (Töwraty kabul edişiňiziň) yzyndan siz (beren ähti-peýmanyňyzdan) dändiňiz. Eger size Allanyň pazly-keremi we merhemeti bolmasady, elbetde, siz zyýan çekenlerden bolardyňyz.",OK,True
2,Bakara,65,"Kasam bolsun! Siz öz içiňizden şenbe güni azgynçylyk edendikleri üçin (Biziň olara): «Betnyşan maýmynlara öwrüliň!» diýendigimizi, elbetde, bilýänsiňiz.",OK,True
2,Bakara,66,"Biz muny şol wagt görenlere (ýaşaýanlara) we olaryň yzlaryndan geljeklere ybrat dersi, takwalara bolsa öwüt-nesihat bolmagy üçin etdik.",OK,True
2,Bakara,67,"Musa öz kowumyna: «Takyk, Alla siziň bir sygryň damagyny çalmagyňyzy",OK,True
2,Bakara,68,"Olar: «Sen biziň üçin Perwerdigäriňe ýüz tut! (Goý), Ol bize onuň (sygryň) nähilidigini beýän etsin!» diýdiler. Ol (Musa): «Takyk, Ol (Alla): «Ol ne-hä garry sygyr, ne-de ýaş göle (bolsun), bularyň arasynda ortaçarak bolsun» diýýär. (Indi) siz özüňize emir edilen zady berjaý ediň!» diýdi.",OK,True
2,Bakara,69,"Olar: «Sen biziň üçin Perwerdigäriňe ýüz tut! (Goý), Ol bize onuň reňkiniň nähiligini beýan etsin!» diýdiler. Ol (Musa): «Takyk Ol (Alla): «Ol görenleri şat edýän ýalpyldap duran sary reňkli sygyr bolsun» diýýär» diýdi.",OK,True
2,Bakara,70,"Olar: «Sen biziň üçin Perwerdigäriňe ýüz tut! (Goý), Ol bize onuň (sygryň) nähilidigini beýän etsin!» diýdiler. Sebäbi biziň (göwnümize) ol sygyr (beýlekilere hem) meňzeş ýaly bolup dur. Alla halasa, elbetde, biz dogrusyny taparys» diýdiler.",OK,True
2,Bakara,71,"(Musa) olara: «Ol (Alla): «Ol (sygyr) heniz (boýuntyryk dakylyp) ýer sürüp, ekin suwaryp horluk görmedik, hiç hili kemçiligi bolmadyk, reňkinde hiç tegmili bolmadyk bir sygyr (bolsun)» diýýär» diýdi. Olar: «Sen şu wagt hakykaty getirdiň (aýtdyň)» diýdiler we dessine ony (tapyp) damagyny çaldylar. Olar tasdanam (ol emri) ýerine ýetirmän goýupdylar.",OK,True
2,Bakara,72,"Siz (bir wagt) bir adam öldüripdiňiz, (soň hem) onuň (ganhorynyň kimdigi) barada öz araňyzda düşünişmezlik (bolupdy). Alla siziň gizleýän zatlaryňyzy ýüze çykarar.",OK,True
2,Bakara,73,"Biz (size): «Onuň (öldürilen sygryň) bir bölek (eti) bilen ony (öldürilen adamy) uruň» diýdik. Ine, siziň akylyňyza aýlanmagyňyz üçin, Alla ölüleri şeýdip direldýär we size öz alamatlaryny (gudratlaryny) görkezýär.",OK,True
2,Bakara,74,"Emma mundan soň siziň kalplaryňyz ýene-de daş ýaly, hatda ondan hem has beter gatylaşdy. Takyk, käbir daşlaryň aşagyndan derýalar (çeşmeden) gaýnap çykýar, käbirleriniň içinden ýarylyp suw çykýar. Käbir daşlar bolsa, Alladan gorkusyna, ýere togalanyp düşýär. Alla siziň edýän işleriňizden gapyl däldir.",OK,True
2,Bakara,75,"(Eý, möminler!) Indi olar size iman getirer öýdüp pikir edýärsiňizmi? Olardan bir topar Allanyň sözüni eşidip, oňa mazaly göz ýetirip, onuň (hakykatdygyny) bilseler hem ony üýtgetdiler.",OK,True
2,Bakara,76,"(Ikiýüzlüler) iman getirenler bilen gabatlaşanlarynda: «Biz (hem) iman getirdik» diýýärler. Öz-özleri tenha galanlarynda bolsa, biri-birlerine: «Siz (näme) olara Allanyň (Töwratda) size (Muhammediň gelmelidigi baradaky) beýan eden (zatlaryny) Perwerdigäriňiziň huzurynda ony özüňize (garşy) delil getirmekleri üçin aýdýarsyňyzmy? Siz bu barada pikir etmeýärsiňizmi?» diýýärler.",OK,True
2,Bakara,77,Olar özleriniň ýaşyryn we äşgär edýän zatlaryny Allanyň bilýändigini bilmeýärlermi?,OK,True
2,Bakara,78,Olaryň arasynda kitaby (Töwraty) bilmeýän bisowatlar bar. Olaryň bar bilýän zatlary diňe eşiden boş gürrüňleridir. Olar diňe güman edýärler.,OK,True
2,Bakara,79,"Öz elleri bilen kitap ýazyp, soň hem ony az-owlak pula satmak üçin: «Bu Alladan gelen (zat)» diýýänlere haýp bolsun! Öz elleri bilen ýazandyklary sebäpli, olara haýp bolsun! Olara gazanan zatlary üçin hem haýp bolsun!",OK,True
2,Bakara,80,Olar (ysraýyl ogullary): «Bize dowzah ody diňe sanalgy gün deger» diýdiler. (Olara): «Siz näme Alladan ähti-peýman aldyňyzmy? Alla Öz ähtipeýmanyndan hiç haçan dänmez. Ýada siz Alla hakda bilmeýän zatlaryňyzy aýdýarsyňyzmy?» diýip aýt.,OK,True
2,Bakara,81,"Ýok! Kim erbetlik etse, eden erbetligi hem özüni doly gurşap alsa,",OK,True
2,Bakara,82,"Iman getirip, ýagşy işleri edenler bolsa, ine, olar jennetidirler. Olar ol ýerde ebedi galarlar.",OK,True
2,Bakara,83,"Biz (bir wagt) ysraýyl ogullaryndan olaryň diňe Alla ybadat etjekdikleri, eneata, ýakyn dogan-garyndaşa, ýetimlere, misginlere ýagşylyk etjekdikleri barada ähti-peýman alypdyk. (Olara): «Ynsanlara (diňe) ýagşy söz sözläň, namazy doly berjaý ediň, zekat beriň» diýip emir edipdik. Soň, diňe az sanlyňyzdan galanyňyz, (bu wadadan) ýüz öwrüp, dändiňiz.",OK,True
2,Bakara,84,"(Eý, ysraýyl ogullary!) Biz sizden biri-biriňiziň ganlaryňyzy dökmejekdigiňiz, biri-biriňizi ýurtlaryňyzdan çykarmajakdygyňyz barada (hem) ähti-peýman alypdyk. Soň siz ähli zady görüp kabul etdiňiz.",OK,True
2,Bakara,85,"Soň siz (beren sözüňizden dänip) biri-biriňizi öldürdiňiz, öz içiňizden bir topary ýurtlaryndan (kowup) çykardyňyz. Olara garşy günäde we duşmançylykda biri-biriňize ýardam berdiňiz. Olary (ýurtlaryndan) çykarmak size haram bolsa-da, (siz olary hem ýurtlaryndan çykarýarsyňyz, hem-de başgalaryň eline) ýesir bolup size gelenlerinde töleg töläp, olary halas edýärsiňiz. Ýa-da siz kitabyň bir",OK,True
2,Bakara,86,"Olar ahyretiň deregine bu dünýä ýaşaýşyny satyn alanlardyr. (Şonuň üçin hem) olaryň azaby ýeňilleşdirilmez, olara kömek hem edilmez.",OK,True
2,Bakara,87,"Takyk, Biz Musa kitaby (Töwraty) berdik we ondan soň hem yzly-yzyna pygamber iberdik. Merýem ogly Isa äşgär deliller berdik we ony Mukaddes Ruh (Jebraýyl) bilen goldadyk. (Emma) näwagt pygamber siziň göwnüňiziň halamaýan zadyny getirse (welin), tekepbirlik etdiňiz. Siz (özüňize iberilen pygamberleriň) käbirini ýalançy hasapladyňyz, käbirini bolsa öldürdiňiz.",OK,True
2,Bakara,88,"(Olar): «Biziň kalplarymyz möhürlenen» diýdiler. Ýok! Olaryň küpürleri sebäpli, Alla olary näletledi. (Şonuň üçin hem) olaryň (içinde) ynanýanlary azdyr.",OK,True
2,Bakara,89,"Bes, Alla tarapyndan olara öz ýanlaryndakyny (Töwraty) tassyklaýan kitap (Kuran) geldi. Olar öň kapyrlara (butparazlara) garşy (söweşde) onuň (ahyrzaman pygamberi we Kuran) bilen ýeňiş (kömek) soraýardylar. Olara bilýän zatlary (pygamber we Kuran) gelensoň (welin), ony inkär etdiler. (Şonuň üçin hem) kapyrlara Allanyň näleti bolsun!",OK,True
2,Bakara,90,"Allanyň Öz bendelerinden islänine Öz pazly-kereminden (pygamberlik) iberýändigine görip bolup, Allanyň inderen zadyny (Kurany) inkär edip, (deregine) özlerini satan zatlary (küpür) nähili erbet zatdyr. (Şonuň üçin hem) olar (Allanyň) gazabyna duçar boldular. Kapyrlar üçin ryswa ediji azap bardyr.",OK,True
2,Bakara,91,"Olara: «Allanyň inderenine (Kurana) iman getiriň» diýlende, olar: «Biz özümize inderilene (Töwrata) ynanýarys» diýdiler we ondan soňkyny inkär etdiler. (Aslynda) ol (Kuran) özleriniň ýanlaryndakyny (Töwraty) tassyklaýan hak (kitapdyr). (Olara): «Eger siz ynanýan bolsaňyz, onda näme üçin mundan öň Allanyň pygamberlerini öldürýärdiňiz?» diýip aýt.",OK,True
2,Bakara,92,"Kasam bolsun! Musa size äşgär deliller bilen gelipdi. Siz ondan soň göläni (hudaý) edinip, özüňize zulum etdiňiz.",OK,True
2,Bakara,93,"Biz Tur dagyny siziň üstüňize galdyryp, (onuň eteginde) sizden ähtipeýman alyp: «Size beren zadymyza mäkäm ýapyşyň we gulak asyň!» diýipdik. Olar: «Eşitdik we asy bolduk (boýun bolmadyk)» diýdiler. Inkär edendikleri sebäpli, olaryň kalplaryna gölä bolan meýil guýuldy. Olara: «Eger siz ynanýan bolsaňyz, imanyňyz size nähili erbet zatlary emir edýär?» diýip aýt.",OK,True
2,Bakara,94,"Eger ahyret ýurdy Allanyň ýanynda (beýleki) ynsanlara däl-de, (diňe) size mahsus (degişli) bolsa, eger siz hem dogruçyl bolsaňyz, (hany onda) ölümi arzuw ediň-dä?!» diýip aýt.",OK,True
2,Bakara,95,(Emma) olar öz elleri bilen eden etmişleri zerarly hiç haçan ony (ölümi) arzuw edip bilmezler. Alla zalymlary gowy tanaýandyr.,OK,True
2,Bakara,96,"(Eý, Muhammet!) Kasam bolsun! Sen ynsanlaryň içinde ýaşaýşa (Alla) şärik goşýanlardan-da has beter höweslileriň olardygyny (ýahudylardygyny) görersiň! Olaryň her haýsy: «Käşgä, müň ýyl ömür sürsedik» diýip arzuw ederler. Ýöne uzyn ömür sürmek hiç kimden azaby daşlaşdyryp (halas edip) bilmez. Alla",OK,True
2,Bakara,97,"(Eý, Muhammet!) Aýt: «Kim Jebraýyla duşman bolsa, (bilip goýsun)! Takyk, Allanyň rugsady bilen özünden öňki kitaplary tassyklaýjy, möminlere dogry ýol görkeziji we hoş habar beriji bolan ony (Kurany) seniň kalbyňa Ol inderendir)» diýip aýt.",OK,True
2,Bakara,98,"Kim Alla, Onuň perişdelerine, pygamberlerine, Jebraýyla we Mikaýyla duşman bolsa, (bilip goýsun), Alla (beýle) kapyrlaryň duşmanydyr.",OK,True
2,Bakara,99,Kasam bolsun! Biz saňa äşgär aýatlary inderdik. Olary diňe (ýoldan çykan) pasyklar inkär ederler.,OK,True
2,Bakara,100,"Olar eger bir ähti-peýman etseler, her gezek hem özlerinden bir topar ol ähtipeýmany bozmaýarmy? Olaryň aglabasy (hatda Töwrata hem) ynanmaýarlar.",OK,True
2,Bakara,101,"Olara Alla tarapyndan ýanlaryndakyny (Töwraty) tassyklaýan bir ilçi gelende, özlerine kitap berlenlerden bir topar, göýä, hiç zat bilmeýän ýaly bolup, Allanyň kitabyny yzlaryna taşladylar (oňa amal etmediler).",OK,True
2,Bakara,102,"Olar (ýahudylar) Süleýmanyň hökümdarlyk (döwründe) şeýtanlaryň okap beren zatlaryna (jadylaryna) tabyn boldular. Süleýman (hiç haçan jady edip) kapyr bolmady. Emma şeýtanlar (ynsanlara) jadygöýligi hem-de Harut we Marut (atly iki perişdä) Babylda inderilen zady öwredip, kapyr boldular. Emma olaryň (Harut we Marut) ikisi: «Biz diňe synag üçin iberildik, siz (ýalňyş ynanyp) kapyr bolmaň!» diýmezden, (jady ylmyny) hiç kime öwretmeýärdiler. Olar (jadygöýler) olaryň ikisinden är-aýalyň arasyny açýan zady öwrendiler. Emma olar (jadygöýler) Alladan bidin ol (jady) bilen hiç kime zyýan berip bilmezler. Olar özlerine peýdasy bolmadyk, diňe zyýany bolan zatlary öwrenýärdiler. Kasam bolsun! Olar ony (jadyny) satyn alanyň ahyretden nesibesiniň ýokdugyny bilýärdiler. Özlerine derek satan zatlary nähili erbet zatdyr! Eger (olar) muňa göz ýetirsediler, (beýle etmezdiler)!",OK,True
2,Bakara,103,"Eger olar (ýahudylar) iman getirip, (özlerini erbet işlerden) saklasalardy, elbetde, Alla tarapyndan (beriljek) az sogap hem (olar üçin) has haýyrly bolardy. Eger (olar) muňa göz ýetirsediler (iman getirerdiler)!",OK,True
2,Bakara,104,"Eý, iman getirenler! Siz «Ragynä» diýmäň, «Unzurnä» diýiň we (aýdylanlara) gulak asyň! (Elbetde) kapyrlara jebir-jepaly azap bardyr.",OK,True
