surah_number,surah_name,ayah_number,text_latin,text_arabic_script
2,Al-Baqara,31,"U għallem lil Adam l-ismijiet kollha (ta' kulma jinsab fil-ħolqien), imbagħad uriehom. lill-angli u qal(ilhom): Għiduli l-ismijiet ta' dawn (il-ħlejjaq), jekk intom qegħdin tgħidu s-sewwa (li jistħoqqilkom tkunu werrieta aktar minn Adam)",و عاللېم ليل آدم ل-يسميييهت كوللها (تا' كولما يينساب فيل-حولقيهن)، يمباعاد وريههوم. ليلل-انگلي و قال(يلهوم): عيدولي ل-يسميييهت تا' داون (يل-حلېيياق)، يېكك ينتوم قېعدين تعيدو س-سېووا (لي ييستحوققيلكوم تكونو وېرريهتا اكتار مينن آدم)
2,Al-Baqara,32,"Qalu: Sebħ lilekl Ma għandna ebda għerf għajr dak li Inti għallimtna. Inti tabilħaqq taf kollox, l-Għaref",قالو: سېبح ليلېكل ما عاندنا ېبدا عېرف عاير داك لي ينتي عالليمتنا. ينتي تابيلحاقق تاف كوللوش، ل-عارېف
2,Al-Baqara,33,"Huwa qal: 'Ja Adam, għarrafhom b'ismijiethom.' U meta għarrafhom b'ismijiethom, Huwa qal: 'Mela ma għedtilkomx li Jiena naf il-mistur tas-smewwiet u ta' l- art, u naf b'dak li turu u b'dak li kontu taħbu (meta ħsibtu li Alla ma huwiex se joħloq ħliqa aħjar minnkom)i",هووا قال: 'يا آدم، عاررافهوم ب'يسميييهتهوم.' و مېتا عاررافهوم ب'يسميييهتهوم، هووا قال: 'مېلا ما عېدتيلكومش لي ييهنا ناف يل-ميستور تاس-سمېوويهت و تا' ل- ارت، و ناف ب'داك لي تورو و ب'داك لي كونتو تاحبو (مېتا حسيبتو لي الله ما هوويهش سې يوحلوق حليقا احيار ميننكوم)ي
2,Al-Baqara,34,"(Ftakar, Muħammad) meta għedna lill-angli: ''Inxteħtu quddiem Adam (u agħtuh gieħ)I' Huma (ilkoll) inxteħtu, għajr Iblis. Hu b'xejn ma ried, u tkabbar. Hu kien fost dawk li m'emmnux",(فتاكار، محمد) مېتا عېدنا ليلل-انگلي: ''ينشتېحتو قودديهم آدم (و اعتوه گيهح)ي' هوما (يلكولل) ينشتېحتو، عاير ابليس. هو ب'شېين ما ريهد، و تكاببار. هو كيهن فوست داوك لي م'ېممنوش
2,Al-Baqara,35,"Aħna għedna: 'Ja Adam, għammar inti u martek fil- Genna u kulu minnha kemm tixtiequ u minn fejn tridu, izda la toqorbux lejn din is-sigra għaliex tkunu mal- ħziena",احنا عېدنا: 'يا آدم، عاممار ينتي و مارتېك فيل- گېننا و كولو ميننها كېمم تيشتيهقو و مينن فېين تريدو، يزدا لا توقوربوش لېين دين يس-سيگرا عاليهش تكونو مال- حزيهنا
2,Al-Baqara,36,"Ix-Xitan (imbagħad) waqqagħhom minnha (mill- Genna) u ħarighom minn dak (l-hena) li kienu fih. U għedna: ''Inzlu 'l isfel (ja Adam, Eva, u Iblis), għedewwa ta' xulxinl L-art tkun l-għamara u t-tgawdija tagħkom għal xi zmien",يش-شيتان (يمباعاد) واققاعهوم ميننها (ميلل- گېننا) و حاريگهوم مينن داك (ل-هېنا) لي كيهنو فيه. و عېدنا: ''ينزلو 'ل يسفېل (يا آدم، ېڤا، و ابليس)، عېدېووا تا' شولشينل ل-ارت تكون ل-عامارا و ت-تگاودييا تاعكوم عال شي زميهن
2,Al-Baqara,37,"Adam laqa' kliem minn Sidu (fi għallmu kif jindem), u (alla) dar lejh bil-maħfra. Huwa tabilħaqq idur Kollu Maħfra, il-Ħanin",آدم لاقا' كليهم مينن سيدو (في عاللمو كيف ييندېم)، و (الله) دار لېيه بيل-ماحفرا. هووا تابيلحاقق يدور كوللو ماحفرا، يل-حانين
2,Al-Baqara,38,"Aħna għedna: ''Inzlu minnha Ikoll (Adam, Eva, u Iblis)i Tabilħaqq li meta tigikom' tmexxija tajba mingħandi, dawk li jimxu skond it-tmexxija tiegħi ma jkollhom ebda biza' fuqhom. u lanqas jitnikktu",احنا عېدنا: ''ينزلو ميننها يكولل (آدم، ېڤا، و ابليس)ي تابيلحاقق لي مېتا تيگيكوم' تمېششييا تايبا مينعاندي، داوك لي ييمشو سكوند يت-تمېششييا تيهعي ما يكوللهوم ېبدا بيزا' فوقهوم. و لانقاس ييتنيككتو
2,Al-Baqara,39,"Izda dawk li ma jemmnux u jgiddbu s-sinjali u r- Rivelazzjoni tagħna, huma jkunu nies in-Nar, u fih jgħammru għal dejjem",يزدا داوك لي ما يېممنوش و يگيددبو س-سينيالي و ر- ريڤېلاززيوني تاعنا، هوما يكونو نيهس ين-نار، و فيه يعاممرو عال دېييېم
2,Al-Baqara,40,"Ja Wlied Israel, ftakru fil-grazzja tiegħi li xħett fuqkom; oqogħdu għal dak li wegħedtuni, u. Jiena noqgħod għal dak li wegħedikom. Minni biss ibzgħul",يا وليهد يسراېل، فتاكرو فيل-گراززيا تيهعي لي شحېتت فوقكوم؛ وقوعدو عال داك لي وېعېدتوني، و. ييهنا نوقعود عال داك لي وېعېديكوم. مينني بيسس يبزعول
2,Al-Baqara,41,"Emmnu f'dak (il-Qoran imqaddes) li nizzilt, li jseddaq dak li diga għandkom (it-Tora), u la tkunux ma' l-ewwel nies li jicħduh, lanqas ma tbigħu r-Rivelazzjoni tiegħi bi prezz irħis, u minni ibzgħul",ېممنو ف'داك (يل-قرآن يمقاددېس) لي نيززيلت، لي يسېدداق داك لي ديگا عاندكوم (يت-تورا)، و لا تكونوش ما' ل-ېووېل نيهس لي ييكحدوه، لانقاس ما تبيعو ر-ريڤېلاززيوني تيهعي بي پرېزز يرحيس، و مينني يبزعول
2,Al-Baqara,42,"La tlibbsux is-sewwa bil-qerq, u la taħbux is-sewwa meta intom tafu (tajjeb x'inhu)",لا تليببسوش يس-سېووا بيل-قېرق، و لا تاحبوش يس-سېووا مېتا ينتوم تافو (تاييېب ش'ينهو)
2,Al-Baqara,43,"Agħmlu t-talb, agħtu l-karita, u milu (bil-qima) ma' dawk li jmilu;' ħ",اعملو ت-تالب، اعتو ل-كاريتا، و ميلو (بيل-قيما) ما' داوك لي يميلو؛' ح
2,Al-Baqara,44,"Jaqaw (ja rabbini Lhud) intom tamru lin-nies it-tjieba izda tinsew lilkom infuskom, għad li taqraw il-Ktieb (it- Tora) 2 Mela ma tifhmux",ياقاو (يا راببيني لهود) ينتوم تامرو لين-نيهس يت-تييهبا يزدا تينسېو ليلكوم ينفوسكوم، عاد لي تاقراو يل-كتيهب (يت- تورا) 2 مېلا ما تيفهموش
2,Al-Baqara,45,"Fittxu l-għajnuna fis-sabar u t-talb; (din) hija tabilħaqq (ħaga) tqila, ħlief għall-umli",فيتتشو ل-عاينونا فيس-سابار و ت-تالب؛ (دين) هييا تابيلحاقق (حاگا) تقيلا، حليهف عالل-وملي
2,Al-Baqara,46,"li jemmnu li għad jiltaqgħu ma' Sidhom, u li għad jerggħu lura għandu",لي يېممنو لي عاد ييلتاقعو ما' سيدهوم، و لي عاد يېرگعو لورا عاندو
2,Al-Baqara,47,"Ja Wlied Israel, ftakru fil-grazzja tiegħi li: xħett fuqkom, u li (dak iz-zmien) kont ippreferejtkom mill- ħlejjaq (l-oħra)",يا وليهد يسراېل، فتاكرو فيل-گراززيا تيهعي لي: شحېتت فوقكوم، و لي (داك يز-زميهن) كونت يپپرېفېرېيتكوم ميلل- حلېيياق (ل-وحرا)
2,Al-Baqara,48,"Ibzgħu minn Jum (il-Ħaqq) meta ruħ ma tħallasx għal ruħ oħra, ma tintlaqax minnha intercessjoni (għal dawk li ma jemmnux), u lanqas tittieħed minnha ebda fidwa; (Dakinhar dawk l-erwieħ ħziena) ma jkunux megħjuna",يبزعو مينن يوم (يل-حاقق) مېتا روح ما تحاللاسش عال روح وحرا، ما تينتلاقاش ميننها ينتېركېسسيوني (عال داوك لي ما يېممنوش)، و لانقاس تيتتيهحېد ميننها ېبدا فيدوا؛ (داكينهار داوك ل-ېرويهح حزيهنا) ما يكونوش مېعيونا
2,Al-Baqara,49,"(Ftakru) meta ħlisniekom: minn nies. il-Fargħun, li kienu jgħaddukom mill-agħar tbatija, ibiccru lil uliedkom filwaqt li jħallu lin-nisa tagħkom ħajjin. F'dan kien hemm tigrib kbir minn Sidkom",(فتاكرو) مېتا حليسنيهكوم: مينن نيهس. يل-فارعون، لي كيهنو يعاددوكوم ميلل-اعار تباتييا، يبيككرو ليل وليهدكوم فيلواقت لي يحاللو لين-نيسا تاعكوم حاييين. ف'دان كيهن هېمم تيگريب كبير مينن سيدكوم
2,Al-Baqara,50,"U (ftakru) meta froqna l-baħar bikom u ħlisniekom, u għerriqna nies il-Fargħun quddiem għajnejkom",و (فتاكرو) مېتا فروقنا ل-باحار بيكوم و حليسنيهكوم، و عېرريقنا نيهس يل-فارعون قودديهم عاينېيكوم
2,Al-Baqara,51,"(Ftakru wkoll) meta wegħedna lil Mosc (li nagħtuh it- Tora. fi zmien). erbgħin lejla, imbagħad minn. warajh, għaziltu l-għogol (u nxtħettu tqimu lilu flok lil Alla), u (b'hekk) kontu ħziena",(فتاكرو وكولل) مېتا وېعېدنا ليل موسى (لي ناعتوه يت- تورا. في زميهن). ېربعين لېيلا، يمباعاد مينن. وارايه، عازيلتو ل-عوگول (و نشتحېتتو تقيمو ليلو فلوك ليل الله)، و (ب'هېكك) كونتو حزيهنا
2,Al-Baqara,52,"Imbagħad wara dan ħfimielkom, biex forsi tizzu ħajr",يمباعاد وارا دان حفيميهلكوم، بيهش فورسي تيززو حاير
2,Al-Baqara,53,"U (ftakru) meta tajna lil Mosc l-Ktieb. (it-Tora) u l- Qjies (li jifred it-tajjeb mill-ħazin), biex forsi timxu fit- triq it-tajba. I",و (فتاكرو) مېتا تاينا ليل موسى ل-كتيهب. (يت-تورا) و ل- قييهس (لي ييفرېد يت-تاييېب ميلل-حازين)، بيهش فورسي تيمشو فيت- تريق يت-تايبا. ي
2,Al-Baqara,54,"U meta Mosc qal lil niesu: 'Ja niesi, intom inqastu lejkom. infuskom meta ħadtu l-għogol (għall-qima tagħkom). Mela duru, bi,ndiema, lejn il-Ħallieq tagħkom u oqtlu (lill-ħziena fostkom) intom infuskoml Dan ikun aħjar għalikom quddiem il-Ħallieq tagħkom.' U dar bil- maħfra lejkom, (għaliex) Huwa tabilħaqq idur Kollu Maħfra, il-Ħanin",و مېتا موسى قال ليل نيهسو: 'يا نيهسي، ينتوم ينقاستو لېيكوم. ينفوسكوم مېتا حادتو ل-عوگول (عالل-قيما تاعكوم). مېلا دورو، بي،نديهما، لېين يل-حالليهق تاعكوم و وقتلو (ليلل-حزيهنا فوستكوم) ينتوم ينفوسكومل دان يكون احيار عاليكوم قودديهم يل-حالليهق تاعكوم.' و دار بيل- ماحفرا لېيكوم، (عاليهش) هووا تابيلحاقق يدور كوللو ماحفرا، يل-حانين
2,Al-Baqara,55,"U (ftakru) meta għedtu: 'Ja. Mosc, m'aħniex se nemmnu fik qabel ma naraw lil Alla fid-dieher'' U s- sajjetta ħaditkom (għal għarrieda) waqt li kontu tħarsu",و (فتاكرو) مېتا عېدتو: 'يا. موسى، م'احنيهش سې نېممنو فيك قابېل ما ناراو ليل الله فيد-ديههېر'' و س- ساييېتتا حاديتكوم (عال عارريهدا) واقت لي كونتو تحارسو
2,Al-Baqara,56,"Imbagħad qajjimniekom, wara mewtkom, biex forsi tizzu ħajr",يمباعاد قايييمنيهكوم، وارا مېوتكوم، بيهش فورسي تيززو حاير
2,Al-Baqara,57,"U waqqajna d-dell fuqkom bis-sħab, u nizzilna fuqkom il-manna u s-summien, (u għednielkom): 'Kulu mill- ħwejjeg tajba li tajniekom.' (Madanakollu huma ħaduha kontrina, imma) ma naqsux. lejna, izda kienu qegħdin jonqsu lejhom infushom",و واققاينا د-دېلل فوقكوم بيس-سحاب، و نيززيلنا فوقكوم يل-ماننا و س-سومميهن، (و عېدنيهلكوم): 'كولو ميلل- حوېييېگ تايبا لي تاينيهكوم.' (ماداناكوللو هوما حادوها كونترينا، يمما) ما ناقسوش. لېينا، يزدا كيهنو قېعدين يونقسو لېيهوم ينفوسهوم
2,Al-Baqara,58,"U meta għedna: 'Idħlu f'din il-belt (ta' Gerusalemm) u kulu minnha, minn fejn u kemm tixtiequ. Idħlu mill-bieb, mixħutin fl-art (b''urija ta' radd il-ħajr lil Alla), u għidu: 'Il-Maħfraf' Aħna se naħfrulkom ħtijietkom u se nzidu (sehem) dawk li jagħmlu t-tajjeb",و مېتا عېدنا: 'يدحلو ف'دين يل-بېلت (تا' گېروسالېمم) و كولو ميننها، مينن فېين و كېمم تيشتيهقو. يدحلو ميلل-بيهب، ميشحوتين فل-ارت (ب''ورييا تا' رادد يل-حاير ليل الله)، و عيدو: 'يل-ماحفراف' احنا سې ناحفرولكوم حتيييهتكوم و سې نزيدو (سېهېم) داوك لي ياعملو ت-تاييېب
2,Al-Baqara,59,"U dawkli għamlu l-ħazen biddlu (Kliem 4Ila) bi kliem li ma kienx dak li ntqalilhom. Għalhekk fuq dawk. li għamlu l-ħazen nizzilna kastig mis-sema, tal-ħazen. li kienu jagħmlu",و داوكلي عاملو ل-حازېن بيددلو (كليهم 4يلا) بي كليهم لي ما كيهنش داك لي نتقاليلهوم. عالهېكك فوق داوك. لي عاملو ل-حازېن نيززيلنا كاستيگ ميس-سېما، تال-حازېن. لي كيهنو ياعملو
