surah_number,surah_name,ayat_number,text_latin,text_arabic,source_status,publishable
2,Bakara,4,(Şeýle-de) olar (takwalar) saňa inderilene (Kurana) we senden öňki (pygamberlere) inderilen (kitaplara) ynanýarlar. Olar ahyrete (hem) doly ynanýarlar.,(شەیلە-دە) ئولار (تقویلار) ساڭا ئیندەریلەنە (قرآنا) وە سەندەن ئۆڭکی (پیگامبەرلەرە) ئیندەریلەن (کیتاپلارا) ینانیارلار۔ ئولار اھیرەتە (ھەم) دولی ینانیارلار۔,OK,True
2,Bakara,5,"Ine, olar (takwalar) özleriniň Perwerdigärinden (gelen) dogry ýoldadyrlar we halas bolanlar (hem) hut olaryň özleridir.",ئینە، ئولار (تقویلار) ئۆزلەرینیڭ پەروەردیگەریندەن (گەلەن) دوگری یولدادیرلار وە ھالاس بولانلار (ھەم) ھۇت ئولاریڭ ئۆزلەریدیر۔,OK,True
2,Bakara,6,"Takyk, inkär edenleri (azap bilen) gorkuzsaň-da, gorkuzmasaň-da, (olar üçin) deňdir. Olar (barybir) ynanmazlar.",تاکیک، ئینکەر ئەدەنلەری (ازاپ بیلەن) گورکۇزساڭ-دا، گورکۇزماساڭ-دا، (ئولار ئۈچین) دەڭدیر۔ ئولار (باریبیر) ینانمازلار۔,OK,True
2,Bakara,7,Alla olaryň kalplaryny we gulaklaryny möhürländir. Olaryň gözleriniň (öňünde) perde bardyr. Olara uly azap bardyr.,الله ئولاریڭ کالپلارینی وە گۇلاکلارینی مۆھۈرلەندیر۔ ئولاریڭ گۆزلەرینیڭ (ئۆڭۈندە) پەردە باردیر۔ ئولارا ئۇلی ازاپ باردیر۔,OK,True
2,Bakara,8,"Ynsanlaryň arasynda, ynanmasalar hem: «Biz Alla we ahyret gününe iman getirdik» diýýänler bardyr.",ینسانلاریڭ اراسیندا، ینانماسالار ھەم: «بیز الله وە اھیرەت گۈنۈنە ئیمان گەتیردیک» دیییەنلەر باردیر۔,OK,True
2,Bakara,9,Olar Allany we iman getirenleri aldaýandyrys (öýdýärler). Emma olar (diňe) özlerini aldaýarlar we (muňa özleri hem) düşünmeýärler.,ئولار الله‌نی وە ئیمان گەتیرەنلەری الدایاندیریس (ئۆیدیەرلەر)۔ ئەمما ئولار (دیڭە) ئۆزلەرینی الدایارلار وە (مۇڭا ئۆزلەری ھەم) دۈشۈنمەیەرلەر۔,OK,True
2,Bakara,10,Olaryň kalplarynda hassalyk (ikiýüzlülik) bardyr. Alla olaryň,ئولاریڭ کالپلاریندا ھاسسالیک (ئیکییۈزلۈلیک) باردیر۔ الله ئولاریڭ,OK,True
2,Bakara,11,"Olara: «Ýer ýüzünde bozgakçylyk etmäň!» diýlende, (olar): «Takyk biz (işleri) düzedýäris» diýýärler.",ئولارا: «یەر یۈزۈندە بوزگاکچیلیک ئەتمەڭ!» دییلەندە، (ئولار): «تاکیک بیز (ئیشلەری) دۈزەدیەریس» دیییەرلەر۔,OK,True
2,Bakara,12,"Emma, takyk, olar bozgaklaryň hut özleridir, ýöne (muňa) özleri hem düşünmeýärler.",ئەمما، تاکیک، ئولار بوزگاکلاریڭ ھۇت ئۆزلەریدیر، یۆنە (مۇڭا) ئۆزلەری ھەم دۈشۈنمەیەرلەر۔,OK,True
2,Bakara,13,"Olara: «Siz hem iman getiren ynsanlar ýaly iman getiriň!» diýlen mahaly, olar: «Heý-de biz akmaklar ýaly iman getirerismi?» diýýärler. Emma (hakyky) akmaklar olaryň hut özleridir, ýöne olar (muny) bilmeýärler.",ئولارا: «سیز ھەم ئیمان گەتیرەن ینسانلار یالی ئیمان گەتیریڭ!» دییلەن ماھالی، ئولار: «ھەی-دە بیز اکماکلار یالی ئیمان گەتیرەریسمی؟» دیییەرلەر۔ ئەمما (ھاکیکی) اکماکلار ئولاریڭ ھۇت ئۆزلەریدیر، یۆنە ئولار (مۇنی) بیلمەیەرلەر۔,OK,True
2,Bakara,14,"Olar (mynapyklar) iman getirenler bilen gabatlaşanlarynda: «Biz (hem siziň ýaly) iman getirdik» diýýärler. Özlerini (azaşdyran) şeýtanlary (ýahudylar) bilen tenha galanlarynda bolsa: «Biz siziň bilen, biz diňe olary (möminleri) ýaňsylaýarys» diýýärler.",ئولار (میناپیکلار) ئیمان گەتیرەنلەر بیلەن گاباتلاشانلاریندا: «بیز (ھەم سیزیڭ یالی) ئیمان گەتیردیک» دیییەرلەر۔ ئۆزلەرینی (ازاشدیران) شەیتانلاری (یاھۇدیلار) بیلەن تەنھا گالانلاریندا بولسا: «بیز سیزیڭ بیلەن، بیز دیڭە ئولاری (مۆمینلەری) یاڭسیلایاریس» دیییەرلەر۔,OK,True
2,Bakara,15,"(Aslynda) Alla olary ýaňsylaýandyr we azgynçylyklarynyň içinde aňalyp ýörkäler, (azaba duçar bolmaklary üçin) olara möhlet berýär.",(اسلیندا) الله ئولاری یاڭسیلایاندیر وە ازگینچیلیکلارینیڭ ئیچیندە اڭالیپ یۆرکەلەر، (ازابا دۇچار بولماکلاری ئۈچین) ئولارا مۆھلەت بەریەر۔,OK,True
2,Bakara,16,Olar dogry ýoluň deregine azaşmagy (ters ýoly) satyn alanlardyr. (Şonuň üçin hem) olaryň (bu) söwdalary peýda getirmedi. Olar dogry ýoly hem tapmadylar.,ئولار دوگری یولۇڭ دەرەگینە ازاشماگی (تەرس یولی) ساتین الانلاردیر۔ (شونۇڭ ئۈچین ھەم) ئولاریڭ (بۇ) سۆودالاری پەیدا گەتیرمەدی۔ ئولار دوگری یولی ھەم تاپمادیلار۔,OK,True
2,Bakara,17,"Olaryň (mynapyklaryň) ýagdaýy (garaňky gijede) ot ýakýanyň ýagdaýy ýalydyr. Ol ot (ýanyp) daş-töweregini ýagtyldan wagty, Alla olaryň ýagtylygyny giderer we olary hiç zat görünmeýän tümlügiň içinde goýar (şeýdibem hiç zady görmezler).",ئولاریڭ (میناپیکلاریڭ) یاگدایی (گاراڭکی گیجەدە) ئوت یاکیانیڭ یاگدایی یالیدیر۔ ئول ئوت (یانیپ) داش-تۆوەرەگینی یاگتیلدان واگتی، الله ئولاریڭ یاگتیلیگینی گیدەرەر وە ئولاری ھیچ زات گۆرۈنمەیەن تۈملۈگیڭ ئیچیندە گویار (شەیدیبەم ھیچ زادی گۆرمەزلەر)۔,OK,True
2,Bakara,18,"(Olar) kerdirler, laldyrlar, kördürler, (şonuň üçin hem) yza (dogry ýola) öwrülip bilmezler.",(ئولار) کەردیرلەر، لالدیرلار، کۆردۈرلەر، (شونۇڭ ئۈچین ھەم) یزا (دوگری یولا) ئۆورۈلیپ بیلمەزلەر۔,OK,True
2,Bakara,19,"Ýa-da (olaryň bu ýagdaýy) garaňky (gijede) gök gümmürdileriniň we ýyldyrymlaryň (arasynda) asmandan ýagýan çabgada galyp, ýyldyrymlar (urup) öldüräýmesin gorkusy bilen gulaklaryny barmaklary bilen ýapýanlara (meňzeýärler). Alla kapyrlaryň (daş-töwereklerini) gabap goýandyr.",یا-دا (ئولاریڭ بۇ یاگدایی) گاراڭکی (گیجەدە) گۆک گۈممۈردیلەرینیڭ وە ییلدیریملاریڭ (اراسیندا) اسماندان یاگیان چابگادا گالیپ، ییلدیریملار (ئۇرۇپ) ئۆلدۈرەیمەسین گورکۇسی بیلەن گۇلاکلارینی بارماکلاری بیلەن یاپیانلارا (مەڭزەیەرلەر)۔ الله کاپیرلاریڭ (داش-تۆوەرەکلەرینی) گاباپ گویاندیر۔,OK,True
2,Bakara,20,"(Şol wagt) ýyldyrym hem göýä, gözlerini çykarjak ýaly (çakar). Ol (ýyldyrym çakan wagty) olara ýagtylyk salsa-ha ýörärler, üstlerine tümlük abansa welin, gymyldaman durarlar. Alla islesedi, elbetde, olaryň gözlerini kör, gulaklaryny ker ederdi. Takyk, Allanyň ähli zada güýji ýetýändir.",(شول واگت) ییلدیریم ھەم گۆیە، گۆزلەرینی چیکارجاک یالی (چاکار)۔ ئول (ییلدیریم چاکان واگتی) ئولارا یاگتیلیک سالسا-ھا یۆرەرلەر، ئۈستلەرینە تۈملۈک ابانسا وەلین، گیمیلدامان دۇرارلار۔ الله ئیسلەسەدی، ئەلبەتدە، ئولاریڭ گۆزلەرینی کۆر، گۇلاکلارینی کەر ئەدەردی۔ تاکیک، الله‌ڭ ئەھلی زادا گۈیجی یەتیەندیر۔,OK,True
2,Bakara,21,"Eý, ynsanlar! Takwalardan bolmagyňyz üçin sizi we sizden öňküleri ýaradan Perwerdigäriňize ybadat ediň!",ئەی، ینسانلار! تاکوالاردان بولماگیڭیز ئۈچین سیزی وە سیزدەن ئۆڭکۈلەری یارادان پەروەردیگەریڭیزە عبادت ئەدیڭ!,OK,True
2,Bakara,22,"Ol (Alla) ýeri siziň üçin düşek, asmany hem (ýokaryňyzy ýapýan) gupba",ئول (الله) یەری سیزیڭ ئۈچین دۈشەک، اسمانی ھەم (یوکاریڭیزی یاپیان) گۇپبا,OK,True
2,Bakara,23,"Eger siziň Biziň gulumyza (Muhammede) inderen zatlarymyza şübhäňiz bar bolsa, onda siz oňa (Kuranyň süresine) meňzeş bir süre getiriň! Eger dogruçyl bolsaňyz, Alladan özge şaýatlaryňyzy (butlaryňyzy) hem çagyryň!",ئەگەر سیزیڭ بیزیڭ گۇلۇمیزا (مۇھاممەدە) ئیندەرەن زاتلاریمیزا شۈبھەڭیز بار بولسا، ئوندا سیز ئوڭا (قرآن‌یڭ سۈرەسینە) مەڭزەش بیر سۈرە گەتیریڭ! ئەگەر دوگرۇچیل بولساڭیز، الله‌دان ئۆزگە شایاتلاریڭیزی (بۇتلاریڭیزی) ھەم چاگیریڭ!,OK,True
2,Bakara,24,"Eger muny başaryp bilmeseňiz, elbetde, (siz ony) hiç haçan başaryp bilmersiňiz, kapyrlar üçin taýýarlanylan tutaşdyrlygy ynsan we daş bolan otdan (dowzahdan) heder ediň!",ئەگەر مۇنی باشاریپ بیلمەسەڭیز، ئەلبەتدە، (سیز ئونی) ھیچ ھاچان باشاریپ بیلمەرسیڭیز، کاپیرلار ئۈچین تاییارلانیلان تۇتاشدیرلیگی ینسان وە داش بولان ئوتدان (دووزاھدان) ھەدەر ئەدیڭ!,OK,True
2,Bakara,25,"Iman getirip, ýagşy işleri edýänleri aşagyndan derýalar akýan jennetler bilen söýünjile! Özlerine (jennetdäki) miweler rysgal edilip berlende, olar: «Bize öň (dünýäde) hem beýle rysgal berlipdi» diýerler. Emma olara (dünýäde) bulara meňzeş miweler berlipdi. Olar üçin (jennetde) päkize jübüt taýlar bardyr. Olar ol ýerde (jennetde) ebedi galarlar.",ئیمان گەتیریپ، یاگشی ئیشلەری ئەدیەنلەری اشاگیندان دەریالار اکیان جەننەتلەر بیلەن سۆیۈنجیلە! ئۆزلەرینە (جەننەتدەکی) میوەلەر رزق ئەدیلیپ بەرلەندە، ئولار: «بیزە ئۆڭ (دۈنیەدە) ھەم بەیلە رزق بەرلیپدی» دییەرلەر۔ ئەمما ئولارا (دۈنیەدە) بۇلارا مەڭزەش میوەلەر بەرلیپدی۔ ئولار ئۈچین (جەننەتدە) پەکیزە جۈبۈت تایلار باردیر۔ ئولار ئول یەردە (جەننەتدە) ئەبەدی گالارلار۔,OK,True
2,Bakara,26,"Takyk, Alla (hakykaty beýan etmek üçin) çybyny we ondan hem ownuk zady mysal getirmekden çekinmez. Iman getirenler bolsa (bularyň) öz Perwerdigärinden (gelen) hakykatdygyny bilýärler. Kapyrlar (bolsa): «Alla bu mysal bilen näme (diýmek) isleýär?» diýýärler. (Alla) onuň bilen birnäçesini ýoldan azaşdyrar, birnäçesini bolsa dogry",تاکیک، الله (ھاکیکاتی بەیان ئەتمەک ئۈچین) چیبینی وە ئوندان ھەم ئوونۇک زادی میسال گەتیرمەکدەن چەکینمەز۔ ئیمان گەتیرەنلەر بولسا (بۇلاریڭ) ئۆز پەروەردیگەریندەن (گەلەن) ھاکیکاتدیگینی بیلیەرلەر۔ کاپیرلار (بولسا): «الله بۇ میسال بیلەن نەمە (دییمەک) ئیسلەیەر؟» دیییەرلەر۔ (الله) ئونۇڭ بیلەن بیرنەچەسینی یولدان ازاشدیرار، بیرنەچەسینی بولسا دوگری,OK,True
2,Bakara,27,"Alla beren ähti-peýmanlaryndan dänenler, Allanyň (dogan-garyndaşlyk gatnaşygy ýaly) emir eden gatnaşyklaryny kesip, ýer ýüzünde pitnepisat çykarýanlar, (ine, hakyky) zyýan çekjekler hut şolardyr.",الله بەرەن ئەھتی-پەیمانلاریندان دەنەنلەر، الله‌ڭ (دوگان-گارینداشلیک گاتناشیگی یالی) ئەمیر ئەدەن گاتناشیکلارینی کەسیپ، یەر یۈزۈندە پیتنەپیسات چیکاریانلار، (ئینە، ھاکیکی) زییان چەکجەکلەر ھۇت شولاردیر۔,OK,True
2,Bakara,28,"(Eý, kapyrlar!) Siz nädip öli wagtyňyz sizi direlden (bu dünýä getirip, jan beren) Allany inkär (edip) bilýärsiňiz?! Soň ol sizi öldürer, soň ýene direlder. Siz soňunda Oňa dolanyp eltilersiňiz!",(ئەی، کاپیرلار!) سیز نەدیپ ئۆلی واگتیڭیز سیزی دیرەلدەن (بۇ دۈنیە گەتیریپ، جان بەرەن) الله‌نی ئینکەر (ئەدیپ) بیلیەرسیڭیز؟! سوڭ ئول سیزی ئۆلدۈرەر، سوڭ یەنە دیرەلدەر۔ سیز سوڭۇندا ئوڭا دولانیپ ئەلتیلەرسیڭیز!,OK,True
2,Bakara,29,"Ol (Alla) ýer ýüzündäki ähli zady siziň üçin ýaratdy. Soň (Öz gudraty bilen) asmana ýönelip, ony ýedi gat (edip) tertip-nyzama saldy. Ol ähli zady bilýändir.",ئول (الله) یەر یۈزۈندەکی ئەھلی زادی سیزیڭ ئۈچین یاراتدی۔ سوڭ (ئۆز گۇدراتی بیلەن) اسمانا یۆنەلیپ، ئونی یەدی گات (ئەدیپ) تەرتیپ-نیزاما سالدی۔ ئول ئەھلی زادی بیلیەندیر۔,OK,True
2,Bakara,30,"(Seniň) Perwerdigäriň perişdelere: «Men ýer ýüzünde bir oruntutar (ynsan) ýaratjak» diýende, olar: «Sen (ýerde) pitne-pisat çykaryp, gan dökjek (ynsanlary) ýaratjak bolýarsyňmy? Biz hamdy-senaň bilen Seni tesbih edýäris we mukaddes tutýarys (taryp edýäris)» diýdiler. (Alla olara): «Takyk, Men siziň bilmeýän zatlaryňyzy bilýärin» diýdi.",(سەنیڭ) پەروەردیگەریڭ پەریشدەلەرە: «مەن یەر یۈزۈندە بیر ئورۇنتۇتار (ینسان) یاراتجاک» دییەندە، ئولار: «سەن (یەردە) پیتنە-پیسات چیکاریپ، گان دۆکجەک (ینسانلاری) یاراتجاک بولیارسیڭمی؟ بیز حمدی-سەناڭ بیلەن سەنی تەسبیھ ئەدیەریس وە مۇکاددەس تۇتیاریس (تاریپ ئەدیەریس)» دییدیلەر۔ (الله ئولارا): «تاکیک، مەن سیزیڭ بیلمەیەن زاتلاریڭیزی بیلیەرین» دییدی۔,OK,True
2,Bakara,31,"(Alla) Adam (ata) ähli zadyň atlaryny öwretdi. Soň olary perişdelere görkezip: «Eger siz dogruçyl bolsaňyz, Maňa bularyň atlaryny aýdyp beriň!» diýdi.",(الله) ادام (اتا) ئەھلی زادیڭ اتلارینی ئۆورەتدی۔ سوڭ ئولاری پەریشدەلەرە گۆرکەزیپ: «ئەگەر سیز دوگرۇچیل بولساڭیز، ماڭا بۇلاریڭ اتلارینی ایدیپ بەریڭ!» دییدی۔,OK,True
2,Bakara,32,"(Perişdeler): «(Eý, Perwerdigärimiz!) Sen ähli nosganlyklardan päksiň! Seniň bize öwreden zatlaryňdan başga biziň bilýän zadymyz ýokdur! Takyk, Sen (ähli zady) bilýänsiň, hikmete eýesiň!» diýdiler.",(پەریشدەلەر): «(ئەی، پەروەردیگەریمیز!) سەن ئەھلی نوسگانلیکلاردان پەکسیڭ! سەنیڭ بیزە ئۆورەدەن زاتلاریڭدان باشگا بیزیڭ بیلیەن زادیمیز یوکدۇر! تاکیک، سەن (ئەھلی زادی) بیلیەنسیڭ، ھیکمەتە ئەیەسیڭ!» دییدیلەر۔,OK,True
2,Bakara,33,"(Alla): «Eý, Adam! Olara (perişdelere) ol zatlaryň atlaryny aýdyp ber!» diýdi. Ol (Adam) olara (perişdelere) olaryň (hemmesiniň) atlaryny aýdyp berende, (Alla): «Men size asmanlardaky we ýerdäki gaýyp zatlary, siziň hem nämäni äşgär edip, nämäni gizleýändigiňizi bilýärin diýmänmidim?» diýdi.",(الله): «ئەی، ادام! ئولارا (پەریشدەلەرە) ئول زاتلاریڭ اتلارینی ایدیپ بەر!» دییدی۔ ئول (ادام) ئولارا (پەریشدەلەرە) ئولاریڭ (ھەممەسینیڭ) اتلارینی ایدیپ بەرەندە، (الله): «مەن سیزە اسمانلارداکی وە یەردەکی گاییپ زاتلاری، سیزیڭ ھەم نەمەنی ئەشگەر ئەدیپ، نەمەنی گیزلەیەندیگیڭیزی بیلیەرین دییمەنمیدیم؟» دییدی۔,OK,True
2,Bakara,34,"Biz perişdelere: «Adama (hormat edip) sežde ediň!» diýenimizde, Iblisden galany (hemme perişdeler) sežde etdiler. Ol (Iblis) ýüz öwrüp, tekepbirlik etdi we (netijede) kapyrlardan boldy.",بیز پەریشدەلەرە: «اداما (ھورمات ئەدیپ) سەژدە ئەدیڭ!» دییەنیمیزدە، ئیبلیسدەن گالانی (ھەممە پەریشدەلەر) سەژدە ئەتدیلەر۔ ئول (ئیبلیس) یۈز ئۆورۈپ، تەکەپبیرلیک ئەتدی وە (نەتیجەدە) کاپیرلاردان بولدی۔,OK,True
2,Bakara,35,"Biz: «Eý, Adam! Sen öz aýalyň (How ene) bilen jennetde mesgen tut! Ondan (jennet nygmatlaryndan) öz göwün islän ýeriňizde bol edip iýiň! (Emma) bu agajyň (miwesine) golaýlaşmaň! Ýogsa (eger bu agajyň miwesinden iýseňiz) ikiňiz hem (özüňize) zulum edenlerden bolarsyňyz» diýdik.",بیز: «ئەی، ادام! سەن ئۆز ایالیڭ (ھوو ئەنە) بیلەن جەننەتدە مەسگەن تۇت! ئوندان (جەننەت نیگماتلاریندان) ئۆز گۆوۈن ئیسلەن یەریڭیزدە بول ئەدیپ ئیییڭ! (ئەمما) بۇ اگاجیڭ (میوەسینە) گولایلاشماڭ! یوگسا (ئەگەر بۇ اگاجیڭ میوەسیندەن ئییسەڭیز) ئیکیڭیز ھەم (ئۆزۈڭیزە) زۇلۇم ئەدەنلەردەن بولارسیڭیز» دییدیک۔,OK,True
2,Bakara,36,"Şeýtan olary ol ýerden (jennetden) taýdyrdy we olary özlerine (berlen) nygmatlaryndan çykartdy. Biz (Adam ata, How enä we şeýtana): «Siz biri-biriňize duşman bolup, (ýere) düşüň! Siziň üçin ýer ýüzünde mesgen we belli bir wagta çenli peýda (ýaşaýyş) bolar» diýdik.",شەیتان ئولاری ئول یەردەن (جەننەتدەن) تایدیردی وە ئولاری ئۆزلەرینە (بەرلەن) نیگماتلاریندان چیکارتدی۔ بیز (ادام اتا، ھوو ئەنە وە شەیتانا): «سیز بیری-بیریڭیزە دۇشمان بولۇپ، (یەرە) دۈشۈڭ! سیزیڭ ئۈچین یەر یۈزۈندە مەسگەن وە بەللی بیر واگتا چەنلی پەیدا (یاشاییش) بولار» دییدیک۔,OK,True
2,Bakara,37,"Adam (ata) öz Perwerdigärinden käbir ylhamlary alandan soň, (eden işine ökünip) derrew toba etdi. Takyk, Ol (Alla) tobalary kabul edijidir, Rehim-şepagatlydyr.",ادام (اتا) ئۆز پەروەردیگەریندەن کەبیر یلھاملاری الاندان سوڭ، (ئەدەن ئیشینە ئۆکۈنیپ) دەررەو توبا ئەتدی۔ تاکیک، ئول (الله) توبالاری کابۇل ئەدیجیدیر، رەھیم-شەپاگاتلیدیر۔,OK,True
2,Bakara,38,"Biz: «Hemmäňiz ondan (jennetden ýere düşüň! Soň size Menden bir dogry ýol (kita ýa-da pygamber) gelse, (kim) Meniň ol dogr ýoluma tabyn bolsa, olara gorky-howp ýokdu we olar gamgyn hem bolmazlar» diýdik.",بیز: «ھەممەڭیز ئوندان (جەننەتدەن یەرە دۈشۈڭ! سوڭ سیزە مەندەن بیر دوگری یول (کیتا یا-دا پیگامبەر) گەلسە، (کیم) مەنیڭ ئول دوگر یولۇما تابین بولسا، ئولارا گورکی-ھووپ یوکدۇ وە ئولار گامگین ھەم بولمازلار» دییدیک۔,OK,True
2,Bakara,39,"Biziň aýatlarymyzy inkär edip, ýalan",بیزیڭ ایاتلاریمیزی ئینکەر ئەدیپ، یالان,OK,True
2,Bakara,40,"Eý, ysraýyl ogullary! Siz Meniň size (ata babalaryňyza) beren nygmatlarymy ýatlaň Meniň size (sylag berjek diýip) beren ähti peýmanyma wepaly bolmagym üçin, si hem maňa (tabyn boljakdygyňyz üçin) bere ähti-peýmanynyza wepaly boluň! Siz diň Menden heder ediň!",ئەی، یسراییل ئوگۇللاری! سیز مەنیڭ سیزە (اتا بابالاریڭیزا) بەرەن نیگماتلاریمی یاتلاڭ مەنیڭ سیزە (سیلاگ بەرجەک دیییپ) بەرەن ئەھتی پەیمانیما وەپالی بولماگیم ئۈچین، سی ھەم ماڭا (تابین بولجاکدیگیڭیز ئۈچین) بەرە ئەھتی-پەیمانینیزا وەپالی بولۇڭ! سیز دیڭ مەندەن ھەدەر ئەدیڭ!,OK,True
2,Bakara,41,Siziň ýanyňyzdakyny (Töwraty) tassyklaýjy,سیزیڭ یانیڭیزداکینی (تۆوراتی) تاسسیکلایجی,OK,True
2,Bakara,42,"Siz bilip durkaňyz, hak bilen nähaky",سیز بیلیپ دۇرکاڭیز، ھاک بیلەن نەھاکی,OK,True
2,Bakara,43,"(Eý, ysraýyl ogullary!) Namazy berjaý ediň",(ئەی، یسراییل ئوگۇللاری!) نماز‌ی بەرجای ئەدیڭ,OK,True
2,Bakara,44,"(Eý, ýahudy alymlary!) Siz kitaby",(ئەی، یاھۇدی الیملاری!) سیز کیتابی,OK,True
2,Bakara,45,Sabyr etmek we namazy berjaý etmek,سابیر ئەتمەک وە نماز‌ی بەرجای ئەتمەک,OK,True
2,Bakara,46,"Takyk, olar (Alladan gorkýanlar) özleriniň",تاکیک، ئولار (الله‌دان گورکیانلار) ئۆزلەرینیڭ,OK,True
2,Bakara,47,Siz Meniň size beren nygmatlarymy we sizi (Musa pygamberiň döwründe) bütin äleme üstün eden (wagtlarymy) ýatlaň!,سیز مەنیڭ سیزە بەرەن نیگماتلاریمی وە سیزی (مۇسا پیگامبەریڭ دۆورۈندە) بۈتین ئەلەمە ئۈستۈن ئەدەن (واگتلاریمی) یاتلاڭ!,OK,True
2,Bakara,48,"Siz hiç kimiň başga birine derek töleg töläp bilmeýän, hiç kimden şepagat (kömek) kabul edilmeýän, hiç kimden fidýe (töleg puly) alynmaýan we hiç kime (hiç hili) ýardam edilmeýän günden gorkuň!",سیز ھیچ کیمیڭ باشگا بیرینە دەرەک تۆلەگ تۆلەپ بیلمەیەن، ھیچ کیمدەن شەپاگات (کۆمەک) کابۇل ئەدیلمەیەن، ھیچ کیمدەن فیدیە (تۆلەگ پۇلی) الینمایان وە ھیچ کیمە (ھیچ ھیلی) یاردام ئەدیلمەیەن گۈندەن گورکۇڭ!,OK,True
2,Bakara,49,"Biz sizi size ýowuz azap (ezýet) beren, erkek perzentleriňizi öldürip, gyz perzentleriňizi diri goýan Fyrgawnyň adamlaryndan doly halas edipdik. Bu siziň üçin Perwerdigäriňizden (gelen) uly synagdy.",بیز سیزی سیزە یووۇز ازاپ (ئەزیەت) بەرەن، ئەرکەک پەرزەنتلەریڭیزی ئۆلدۈریپ، گیز پەرزەنتلەریڭیزی دیری گویان فیرگاونیڭ اداملاریندان دولی ھالاس ئەدیپدیک۔ بۇ سیزیڭ ئۈچین پەروەردیگەریڭیزدەن (گەلەن) ئۇلی سیناگدی۔,OK,True
2,Bakara,50,"Biz siziň üçin deňzi ýaryp, sizi halas etdik, Fyrgawnyň adamlaryny hem siziň gözüňiziň öňünde (deňze) gark edipdik.",بیز سیزیڭ ئۈچین دەڭزی یاریپ، سیزی ھالاس ئەتدیک، فیرگاونیڭ اداملارینی ھەم سیزیڭ گۆزۈڭیزیڭ ئۆڭۈندە (دەڭزە) گارک ئەدیپدیک۔,OK,True
2,Bakara,51,"Biz Musa (Töwraty bermek) üçin kyrk gije wadalaşypdyk. Soň siz onuň yzyndan (özüňize) zulum edip, göläni (hudaý) edindiňiz.",بیز مۇسا (تۆوراتی بەرمەک) ئۈچین کیرک گیجە وادالاشیپدیک۔ سوڭ سیز ئونۇڭ یزیندان (ئۆزۈڭیزە) زۇلۇم ئەدیپ، گۆلەنی (ھۇدای) ئەدیندیڭیز۔,OK,True
2,Bakara,52,(Mundan) soň hem siziň şükür etmegiňiz üçin Biz sizi bagyşladyk.,(مۇندان) سوڭ ھەم سیزیڭ شۈکۈر ئەتمەگیڭیز ئۈچین بیز سیزی باگیشلادیک۔,OK,True
2,Bakara,53,Siziň dogry ýoly tapmagyňyz üçin Biz Musa kitaby (Töwraty) we (hak bilen batyly) tapawutlandyrýan (mugjyzalary) beripdik.,سیزیڭ دوگری یولی تاپماگیڭیز ئۈچین بیز مۇسا کیتابی (تۆوراتی) وە (ھاک بیلەن باتیلی) تاپاوۇتلاندیریان (مۇگجیزالاری) بەریپدیک۔,OK,True
